celda,ancla,n_semillas,bin,seed
disease_a_gene,C0175702,8,bajo,42
disease_a_gene,C0007760,7,bajo,42
disease_a_gene,C0239998,5,bajo,42
disease_a_gene,C0002453,5,bajo,42
disease_a_gene,C0020550,8,bajo,42
disease_a_gene,C0086696,6,bajo,42
disease_a_gene,C0854723,6,bajo,42
disease_a_gene,C0432235,5,bajo,42
disease_a_gene,C0751254,7,bajo,42
disease_a_gene,C2733158,5,bajo,42
disease_a_gene,C1857332,5,bajo,42
disease_a_gene,C0034362,5,bajo,42
disease_a_gene,C0740394,5,bajo,42
disease_a_gene,C0752308,5,bajo,42
disease_a_gene,C0002876,5,bajo,42
disease_a_gene,C1956097,7,bajo,42
disease_a_gene,C0041408,5,bajo,42
disease_a_gene,C4552072,7,bajo,42
disease_a_gene,C0751636,5,bajo,42
disease_a_gene,C0338480,6,bajo,42
disease_a_gene,C0079298,5,bajo,42
disease_a_gene,C0025517,8,bajo,42
disease_a_gene,C0032796,5,bajo,42
disease_a_gene,C0001125,5,bajo,42
disease_a_gene,C0014474,7,bajo,42
disease_a_gene,C0018681,5,bajo,42
disease_a_gene,C0234372,7,bajo,42
disease_a_gene,C0030286,6,bajo,42
disease_a_gene,C1833104,7,bajo,42
disease_a_gene,C0024138,5,bajo,42
disease_a_gene,C0524909,7,bajo,42
disease_a_gene,C0032231,6,bajo,42
disease_a_gene,C0086501,5,bajo,42
disease_a_gene,C0752206,6,bajo,42
disease_a_gene,C0022594,5,bajo,42
disease_a_gene,C0017601,7,bajo,42
disease_a_gene,C3854603,6,bajo,42
disease_a_gene,C0032463,8,bajo,42
disease_a_gene,C4551484,6,bajo,42
disease_a_gene,C0751635,5,bajo,42
disease_a_gene,C0337443,7,bajo,42
disease_a_gene,C0017181,8,bajo,42
disease_a_gene,C4708599,5,bajo,42
disease_a_gene,C0851140,6,bajo,42
disease_a_gene,C0751357,5,bajo,42
disease_a_gene,C1276035,7,bajo,42
disease_a_gene,C0231686,5,bajo,42
disease_a_gene,C0002896,8,bajo,42
disease_a_gene,C1852767,5,bajo,42
disease_a_gene,C0085700,6,bajo,42
disease_a_gene,C0238301,9,medio,42
disease_a_gene,C1266194,11,medio,42
disease_a_gene,C0153452,10,medio,42
disease_a_gene,C0750940,14,medio,42
disease_a_gene,C1270972,8,medio,42
disease_a_gene,C0023485,10,medio,42
disease_a_gene,C1846707,9,medio,42
disease_a_gene,C1834558,13,medio,42
disease_a_gene,C0020305,17,medio,42
disease_a_gene,C0026827,14,medio,42
disease_a_gene,C0265541,10,medio,42
disease_a_gene,C1563730,8,medio,42
disease_a_gene,C2930975,8,medio,42
disease_a_gene,C0019196,14,medio,42
disease_a_gene,C3887461,10,medio,42
disease_a_gene,C0265965,15,medio,42
disease_a_gene,C0340543,16,medio,42
disease_a_gene,C0423711,13,medio,42
disease_a_gene,C1565951,12,medio,42
disease_a_gene,C0751036,8,medio,42
disease_a_gene,C0038358,16,medio,42
disease_a_gene,C0266508,11,medio,42
disease_a_gene,C0030569,12,medio,42
disease_a_gene,C0750937,14,medio,42
disease_a_gene,C0085207,9,medio,42
disease_a_gene,C0178824,13,medio,42
disease_a_gene,C0005910,13,medio,42
disease_a_gene,C0029124,10,medio,42
disease_a_gene,C0457190,12,medio,42
disease_a_gene,C0205875,11,medio,42
disease_a_gene,C0018984,9,medio,42
disease_a_gene,C0023281,9,medio,42
disease_a_gene,C0428977,19,medio,42
disease_a_gene,C0085129,10,medio,42
disease_a_gene,C3502809,8,medio,42
disease_a_gene,C0472383,8,medio,42
disease_a_gene,C0855095,8,medio,42
disease_a_gene,C0042900,16,medio,42
disease_a_gene,C0279607,8,medio,42
disease_a_gene,C0012236,14,medio,42
disease_a_gene,C2931150,15,medio,42
disease_a_gene,C0369183,12,medio,42
disease_a_gene,C0007787,10,medio,42
disease_a_gene,C0018784,19,medio,42
disease_a_gene,C0454655,10,medio,42
disease_a_gene,C2350873,9,medio,42
disease_a_gene,C0004936,11,medio,42
disease_a_gene,C0235974,18,medio,42
disease_a_gene,C0268731,19,medio,42
disease_a_gene,C0042109,14,medio,42
disease_a_gene,C1257931,449,alto,42
disease_a_gene,C0025958,60,alto,42
disease_a_gene,C0001973,213,alto,42
disease_a_gene,C0024306,21,alto,42
disease_a_gene,C4721806,25,alto,42
disease_a_gene,C0334580,25,alto,42
disease_a_gene,C0751217,29,alto,42
disease_a_gene,C0023493,31,alto,42
disease_a_gene,C0524611,22,alto,42
disease_a_gene,C0234238,41,alto,42
disease_a_gene,C0266487,20,alto,42
disease_a_gene,C3887506,29,alto,42
disease_a_gene,C0993582,36,alto,42
disease_a_gene,C0235032,25,alto,42
disease_a_gene,C0345905,23,alto,42
disease_a_gene,C0751496,96,alto,42
disease_a_gene,C0205648,30,alto,42
disease_a_gene,C0600520,21,alto,42
disease_a_gene,C0086189,51,alto,42
disease_a_gene,C0205734,38,alto,42
disease_a_gene,C0476089,67,alto,42
disease_a_gene,C0014518,29,alto,42
disease_a_gene,C0019693,100,alto,42
disease_a_gene,C0017658,29,alto,42
disease_a_gene,C0860207,256,alto,42
disease_a_gene,C0349204,60,alto,42
disease_a_gene,C0022660,78,alto,42
disease_a_gene,C1850597,33,alto,42
disease_a_gene,C0038433,100,alto,42
disease_a_gene,C3714758,110,alto,42
disease_a_gene,C0011574,20,alto,42
disease_a_gene,C4521256,19,alto,42
disease_a_gene,C1266042,113,alto,42
disease_a_gene,C0376634,137,alto,42
disease_a_gene,C1510472,81,alto,42
disease_a_gene,C0233794,39,alto,42
disease_a_gene,C0025261,38,alto,42
disease_a_gene,C0205646,30,alto,42
disease_a_gene,C0205644,109,alto,42
disease_a_gene,C0035334,78,alto,42
disease_a_gene,C0036690,24,alto,42
disease_a_gene,C1527352,22,alto,42
