id,nombre,prefijo,genes,descendientes
DOID_0050890,synucleinopathy,DOID,2036,9
DOID_10113,trypanosomiasis,DOID,1554,4
DOID_10718,giardiasis,DOID,303,0
DOID_13406,pulmonary sarcoidosis,DOID,433,1
DOID_1947,trichomoniasis,DOID,96,6
DOID_7551,gonorrhea,DOID,1547,19
EFO_0000094,B-cell acute lymphoblastic leukemia,EFO,1161,1
EFO_0000095,chronic lymphocytic leukemia,EFO,4735,3
EFO_0000096,neoplasm of mature B-cells,EFO,8143,44
EFO_0000174,Ewing sarcoma,EFO,1916,1
EFO_0000178,gastric carcinoma,EFO,7096,22
EFO_0000180,HIV-1 infection,EFO,2630,0
EFO_0000181,head and neck squamous cell carcinoma,EFO,9244,33
EFO_0000182,hepatocellular carcinoma,EFO,13562,9
EFO_0000183,Hodgkins lymphoma,EFO,2701,4
EFO_0000186,invasive breast ductal carcinoma,EFO,4199,6
EFO_0000191,MALT lymphoma,EFO,1099,5
EFO_0000195,metabolic syndrome,EFO,4228,0
EFO_0000196,metastatic prostate cancer,EFO,1377,0
EFO_0000197,mucinous carcinoma,EFO,1649,42
EFO_0000198,myelodysplastic syndrome,EFO,4415,9
EFO_0000199,oral squamous cell carcinoma,EFO,6717,9
EFO_0000200,plasma cell neoplasm,EFO,5076,7
EFO_0000203,monoclonal gammopathy,EFO,1086,1
EFO_0000205,stage I endometrioid carcinoma,EFO,0,0
EFO_0000206,stage II endometrioid carcinoma,EFO,0,0
EFO_0000209,T-cell acute lymphoblastic leukemia,EFO,1577,4
EFO_0000211,unspecified peripheral T-cell lymphoma,EFO,265,0
EFO_0000216,acinar cell carcinoma,EFO,658,9
EFO_0000217,gastritis,EFO,1934,11
EFO_0000218,acute erythroleukemia,EFO,1081,1
EFO_0000220,acute lymphoblastic leukemia,EFO,7120,24
EFO_0000221,acute monocytic leukemia,EFO,707,2
EFO_0000222,acute myeloid leukemia,EFO,10146,85
EFO_0000223,acute myelomonocytic leukemia,EFO,434,0
EFO_0000224,acute promyelocytic leukemia,EFO,2252,0
EFO_0000225,acute quadriplegic myopathy,EFO,805,0
EFO_0000228,adenocarcinoma,EFO,17230,320
EFO_0000231,adenoid cystic carcinoma,EFO,897,24
EFO_0000232,adenoma,EFO,5603,97
EFO_0000233,adenosquamous lung carcinoma,EFO,393,0
EFO_0000239,adrenal gland pheochromocytoma,EFO,565,3
EFO_0000248,alveolar rhabdomyosarcoma,EFO,846,0
EFO_0000255,angioimmunoblastic T-cell lymphoma,EFO,568,0
EFO_0000266,aortic stenosis,EFO,927,2
EFO_0000272,astrocytoma,EFO,10671,30
EFO_0000274,atopic eczema,EFO,3002,7
EFO_0000275,atrial fibrillation,EFO,5591,7
EFO_0000278,pancreatitis,EFO,2163,9
EFO_0000279,azoospermia,EFO,1888,55
EFO_0000280,Barrett's esophagus,EFO,2628,0
EFO_0000281,basal-like breast carcinoma,EFO,17,0
EFO_0000284,benign prostatic hyperplasia,EFO,3310,0
EFO_0000294,bladder tumor,EFO,7705,35
EFO_0000304,breast adenocarcinoma,EFO,6851,23
EFO_0000305,breast carcinoma,EFO,13140,62
EFO_0000306,breast tumor luminal,EFO,364,2
EFO_0000308,bronchoalveolar adenocarcinoma,EFO,517,1
EFO_0000309,Burkitts lymphoma,EFO,2179,4
EFO_0000313,carcinoma,EFO,19677,799
EFO_0000318,cardiomyopathy,EFO,7534,218
EFO_0000319,cardiovascular disease,EFO,16352,1159
EFO_0000326,central nervous system cancer,EFO,11667,174
EFO_0000330,childhood acute myeloid leukemia,EFO,50,0
EFO_0000331,chondroblastoma,EFO,187,0
EFO_0000332,chondromyxoid fibroma,EFO,42,0
EFO_0000333,chondrosarcoma,EFO,1427,11
EFO_0000335,chromophobe renal cell carcinoma,EFO,2347,0
EFO_0000337,chronic gastritis,EFO,1042,1
EFO_0000339,chronic myelogenous leukemia,EFO,4848,2
EFO_0000341,chronic obstructive pulmonary disease,EFO,7191,10
EFO_0000342,chronic pancreatitis,EFO,1728,2
EFO_0000348,clear cell adenocarcinoma,EFO,4798,14
EFO_0000349,clear cell renal carcinoma,EFO,5537,1
EFO_0000350,clear cell sarcoma of the kidney,EFO,89,0
EFO_0000364,colon mucinous adenocarcinoma,EFO,85,2
EFO_0000365,colorectal adenocarcinoma,EFO,6802,22
EFO_0000373,congestive heart failure,EFO,810,7
EFO_0000384,Crohn's disease,EFO,6497,10
EFO_0000389,cutaneous melanoma,EFO,4441,8
EFO_0000394,dedifferentiated chondrosarcoma,EFO,48,0
EFO_0000397,dermal neurofibroma,EFO,17,0
EFO_0000398,dermatomyositis,EFO,1707,4
EFO_0000400,diabetes mellitus,EFO,12678,49
EFO_0000401,diabetic nephropathy,EFO,3963,2
EFO_0000402,diffuse gastric adenocarcinoma,EFO,757,3
EFO_0000403,diffuse large B-cell lymphoma,EFO,4677,13
EFO_0000404,diffuse scleroderma,EFO,178,0
EFO_0000407,dilated cardiomyopathy,EFO,2149,70
EFO_0000432,breast ductal carcinoma in situ,EFO,2975,1
EFO_0000437,embryonal rhabdomyosarcoma,EFO,779,3
EFO_0000464,emphysema,EFO,1776,3
EFO_0000465,endocarditis,EFO,265,4
EFO_0000466,endometrioid carcinoma,EFO,1869,11
EFO_0000474,epilepsy,EFO,7128,203
EFO_0000478,esophageal adenocarcinoma,EFO,3975,3
EFO_0000479,essential thrombocythemia,EFO,1536,0
EFO_0000483,exercise,EFO,11,0
EFO_0000489,extra-adrenal sympathetic paraganglioma,EFO,55,2
EFO_0000495,fetal growth restriction,EFO,2589,0
EFO_0000497,fibromatosis,EFO,759,9
EFO_0000499,follicular thyroid adenoma,EFO,696,1
EFO_0000500,ganglioneuroma,EFO,1337,0
EFO_0000501,follicular thyroid carcinoma,EFO,1870,5
EFO_0000502,ganglioneuroblastoma,EFO,212,3
EFO_0000503,gastric adenocarcinoma,EFO,5084,10
EFO_0000504,gastric intestinal type adenocarcinoma,EFO,731,0
EFO_0000508,genetic disorder,EFO,20044,10077
EFO_0000512,reproductive system disease,EFO,17887,1127
EFO_0000514,germ cell tumor,EFO,4417,144
EFO_0000519,glioblastoma multiforme,EFO,10339,6
EFO_0000536,hyperplasia,EFO,4406,18
EFO_0000537,hypertension,EFO,7843,44
EFO_0000538,hypertrophic cardiomyopathy,EFO,4760,63
EFO_0000540,immune system disease,EFO,17434,1173
EFO_0000544,infection,EFO,11944,0
EFO_0000545,infertility,EFO,5456,119
EFO_0000546,injury,EFO,6451,100
EFO_0000549,insulinoma,EFO,1554,1
EFO_0000551,intracranial hemorrhage,EFO,1390,6
EFO_0000552,invasive breast ductal and lobular carcinoma,EFO,8,0
