id_a,id_b,fuente,nombre_a,nombre_b,grado_a,grado_b
EFO_0000182,MONDO_0007256,sssom,hepatocellular carcinoma,hepatocellular carcinoma,13889,2
EFO_0000183,MONDO_0004952,sssom,Hodgkins lymphoma,Hodgkins lymphoma,2867,4
EFO_0000222,MONDO_0018874,sssom,acute myeloid leukemia,acute myeloid leukemia,10652,3
EFO_0000228,MONDO_0004970,sssom,adenocarcinoma,adenocarcinoma,17361,3
EFO_0000272,MONDO_0019781,sssom,astrocytoma,astrocytoma (excluding glioblastoma),10701,4
EFO_0000274,MONDO_0004980,sssom,atopic eczema,atopic eczema,3215,12
EFO_0000275,MONDO_0004981,sssom,atrial fibrillation,atrial fibrillation,5774,3
EFO_0000284,MONDO_0010811,sssom,benign prostatic hyperplasia,benign prostatic hyperplasia,3359,1
EFO_0000309,MONDO_0007243,sssom,Burkitts lymphoma,Burkitt lymphoma,2252,1
EFO_0000319,MONDO_0004995,sssom,cardiovascular disease,cardiovascular disorder,16880,42
EFO_0000326,MONDO_0002714,sssom,central nervous system cancer,central nervous system cancer,11741,1
EFO_0000341,MONDO_0005002,sssom,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,7485,19
EFO_0000400,MONDO_0005015,sssom,diabetes mellitus,diabetes mellitus,13218,76
EFO_0000403,MONDO_0018905,sssom,diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,4927,2
EFO_0000407,MONDO_0005021,sssom,dilated cardiomyopathy,dilated cardiomyopathy,2207,1
EFO_0000464,MONDO_0004849,sssom,emphysema,pulmonary emphysema,1876,3
EFO_0000474,MONDO_0005027,sssom,epilepsy,epilepsy,7564,1
EFO_0000495,MONDO_0005030,sssom,fetal growth restriction,fetal growth restriction,2597,33
EFO_0000519,MONDO_0018177,sssom,glioblastoma multiforme,glioblastoma,10676,7004
EFO_0000536,MONDO_0005043,sssom,hyperplasia,hyperplasia,4432,1
EFO_0000537,MONDO_0005044,sssom,hypertension,hypertensive disorder,8482,1621
EFO_0000545,MONDO_0005047,sssom,infertility,infertility disorder,5543,4
EFO_0000565,MONDO_0005059,sssom,leukemia,leukemia,12474,28
EFO_0000574,MONDO_0005062,sssom,lymphoma,lymphoma,11373,6
EFO_0000588,MONDO_0005065,sssom,mesothelioma,mesothelioma,3357,1
EFO_0000612,MONDO_0005068,sssom,myocardial infarction,myocardial infarction,6070,20
EFO_0000616,MONDO_0005070,sssom,neoplasm,neoplasm,24477,63
EFO_0000618,MONDO_0005071,sssom,nervous system disease,nervous system disorder,20468,3
EFO_0000660,MONDO_0008487,sssom,polycystic ovary syndrome,polycystic ovary syndrome,3768,5
EFO_0000668,MONDO_0005081,sssom,preeclampsia,preeclampsia,4094,17
EFO_0000677,MONDO_0005084,sssom,mental or behavioural disorder,mental disorder,16649,7
EFO_0000681,MONDO_0005086,sssom,renal cell carcinoma,renal cell carcinoma,9285,3
EFO_0000684,MONDO_0005087,sssom,respiratory system disease,respiratory system disorder,17372,36
EFO_0000685,MONDO_0008383,sssom,rheumatoid arthritis,rheumatoid arthritis,4215,19
EFO_0000691,MONDO_0005089,sssom,sarcoma,sarcoma,10651,3
EFO_0000701,MONDO_0005093,sssom,skin disease,skin disorder,14133,8
EFO_0000702,MONDO_0008433,sssom,small cell lung carcinoma,small cell lung carcinoma,5387,4
EFO_0000707,MONDO_0005096,sssom,squamous cell carcinoma,squamous cell carcinoma,12850,6
EFO_0000712,MONDO_0005098,sssom,stroke,stroke disorder,2380,26
EFO_0000717,MONDO_0005100,sssom,systemic scleroderma,systemic sclerosis,3110,1
EFO_0000729,MONDO_0005101,sssom,ulcerative colitis,ulcerative colitis,9358,1
EFO_0000756,MONDO_0005105,sssom,melanoma,melanoma,10264,13
EFO_0001060,MONDO_0005130,sssom,celiac disease,celiac disease,1511,1
EFO_0001065,MONDO_0005133,sssom,endometriosis,endometriosis,3678,8
EFO_0001358,MONDO_0005146,sssom,post-traumatic stress disorder,post-traumatic stress disorder,1887,1
