id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad,grado_secundario
EFO_0009086,MONDO_0002277,arteriosclerosis,arteriosclerosis disorder,6220,6193,4,True,True,False,True,False,True,arteriosclerosis,arteriosclerosis,,C0003850,,0.994,False,True,6193
MONDO_0007120,Orphanet_1069,aniridia-absent patella syndrome,Aniridia - absent patella,149,140,4,True,True,True,False,False,True,aniridia absent patella,aniridia absent patella,Orphanet:1069,,,0.94,False,True,140
MONDO_0007225,Orphanet_1118,fibular aplasia-ectrodactyly syndrome,Fibular aplasia - ectrodactyly,174,158,4,True,True,True,False,False,True,fibular aplasia ectrodactyly,fibular aplasia ectrodactyly,Orphanet:1118,,,0.908,False,True,158
MONDO_0007226,Orphanet_1246,brachydactyly-nystagmus-cerebellar ataxia syndrome,Brachydactyly - nystagmus - cerebellar ataxia,26,25,4,True,True,True,False,False,True,brachydactyly nystagmus cerebellar ataxia,brachydactyly - nystagmus - cerebellar ataxia,Orphanet:1246,,,0.962,False,True,25
MONDO_0007438,Orphanet_99792,dentin dysplasia-sclerotic bones syndrome,Dentin dysplasia - sclerotic bones,193,192,4,True,True,True,False,False,True,dentin dysplasia sclerotic bones,dentin dysplasia sclerotic bones,Orphanet:99792,,,0.995,False,True,192
MONDO_0008158,Orphanet_1562,dacryocystitis-osteopoikilosis syndrome,Dacryocystitis - osteopoikilosis,141,140,4,True,True,True,False,False,True,dacryocystitis osteopoikilosis,dacryocystitis osteopoikilosis,Orphanet:1562,,,0.993,False,True,140
MONDO_0008245,Orphanet_2885,piebald trait-neurologic defects syndrome,Piebald trait - neurologic defects,178,167,4,True,True,True,False,False,True,piebald trait neurologic defects,piebald trait neurologic defects,Orphanet:2885,,,0.938,False,True,167
MONDO_0008402,Orphanet_2013,cleft palate-large ears-small head syndrome,Cleft palate - large ears - small head,41,38,4,True,True,True,False,False,True,cleft palate large ears small head,cleft palate large ears small head,Orphanet:2013,,,0.927,False,True,38
MONDO_0008488,Orphanet_3186,holoprosencephaly-radial heart renal anomalies syndrome,Holoprosencephaly - radial heart renal anomalies,61,55,4,True,True,True,False,False,True,holoprosencephaly radial heart renal anomalies,holoprosencephaly radial heart renal anomalies,Orphanet:3186,,,0.902,False,True,55
MONDO_0008607,Orphanet_2947,triphalangeal thumbs-brachyectrodactyly syndrome,Triphalangeal thumbs - brachyectrodactyly,41,40,4,True,True,True,False,False,True,triphalangeal thumbs brachyectrodactyly,triphalangeal thumbs brachyectrodactyly,Orphanet:2947,,,0.976,False,True,40
MONDO_0008665,Orphanet_2997,ptosis-vocal cord paralysis syndrome,Ptosis - vocal cord paralysis,12,11,4,True,True,True,False,False,True,ptosis vocal cord paralysis,ptosis vocal cord paralysis,Orphanet:2997,,,0.917,False,True,11
MONDO_0008796,Orphanet_1064,aniridia-renal agenesis-psychomotor retardation syndrome,Aniridia - renal agenesis - psychomotor retardation,46,43,4,True,True,True,False,False,True,aniridia renal agenesis psychomotor retardation,aniridia renal agenesis psychomotor retardation,Orphanet:1064,,,0.935,False,True,43
MONDO_0008894,Orphanet_1375,cataract-hypertrichosis-intellectual disability syndrome,Cataract - hypertrichosis - intellectual disability,139,137,4,True,True,True,False,False,True,cataract hypertrichosis intellectual disability,"cataract, hypertrichosis, intellectual disability syndrome",Orphanet:1375,,,0.986,False,True,137
MONDO_0009182,Orphanet_79404,junctional epidermolysis bullosa Herlitz type,"Junctional epidermolysis bullosa, Herlitz type",68,68,4,True,True,True,False,False,True,junctional epidermolysis bullosa herlitz type,"junctional epidermolysis bullosa, Herlitz type",Orphanet:79404,,,0.971,False,True,68
MONDO_0009268,Orphanet_2072,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,Gaucher disease - ophthalmoplegia - cardiovascular calcification,32,30,4,True,True,True,False,False,True,gaucher disease ophthalmoplegia cardiovascular calcification,Gaucher disease - ophthalmoplegia - cardiovascular calcification,Orphanet:2072,,,0.938,False,True,30
MONDO_0009363,Orphanet_2181,hydrocephaly-tall stature-joint laxity syndrome,Hydrocephaly - tall stature - joint laxity,27,25,4,True,True,True,False,False,True,hydrocephaly tall stature joint laxity,hydrocephaly - tall stature - joint laxity,Orphanet:2181,,,0.926,False,True,25
MONDO_0009900,Orphanet_2934,polysyndactyly-cardiac malformation syndrome,Polysyndactyly - cardiac malformation,43,42,4,True,True,True,False,False,True,polysyndactyly cardiac malformation,polysyndactyly cardiac malformation,Orphanet:2934,,,0.977,False,True,42
MONDO_0010031,Orphanet_816,Sjogren-Larsson syndrome,Sjögren-Larsson syndrome,144,37,4,True,True,True,True,False,False,sjogren larsson,Sjogren Larsson syndrome,Orphanet:816,C0037231,,,False,True,37
MONDO_0010558,Orphanet_1435,choroideremia-deafness-obesity syndrome,Choroideremia - deafness - obesity,94,101,4,True,True,True,False,False,True,choroideremia deafness obesity,choroideremia deafness obesity,Orphanet:1435,,,0.912,False,True,94
MONDO_0010652,Orphanet_3052,X-linked intellectual disability-seizures-psoriasis syndrome,X-linked intellectual disability - seizures - psoriasis,23,22,4,True,True,True,False,False,True,x linked intellectual disability seizures psoriasis,X-linked intellectual disability - seizures - psoriasis,Orphanet:3052,,,0.957,False,True,22
MONDO_0010710,Orphanet_2888,Pierre Robin syndrome-faciodigital anomaly syndrome,Pierre Robin syndrome - faciodigital anomaly,100,99,4,True,True,True,False,False,True,pierre robin syndrome faciodigital anomaly,"Pierre Robin syndrome, faciodigital anomaly",Orphanet:2888,,,0.99,False,True,99
