id,representante,grupo,tamaño_grupo,fuente
EFO_0000182,EFO_0000182,0,2,sssom
MONDO_0007256,EFO_0000182,0,2,sssom
EFO_0000183,EFO_0000183,1,2,sssom
MONDO_0004952,EFO_0000183,1,2,sssom
EFO_0000222,EFO_0000222,2,2,sssom
MONDO_0018874,EFO_0000222,2,2,sssom
EFO_0000228,EFO_0000228,3,2,sssom
MONDO_0004970,EFO_0000228,3,2,sssom
EFO_0000272,EFO_0000272,4,2,sssom
MONDO_0019781,EFO_0000272,4,2,sssom
EFO_0000274,EFO_0000274,5,2,sssom
MONDO_0004980,EFO_0000274,5,2,sssom
EFO_0000275,EFO_0000275,6,2,sssom
MONDO_0004981,EFO_0000275,6,2,sssom
EFO_0000284,EFO_0000284,7,2,sssom
MONDO_0010811,EFO_0000284,7,2,sssom
EFO_0000309,EFO_0000309,8,2,sssom
MONDO_0007243,EFO_0000309,8,2,sssom
EFO_0000319,EFO_0000319,9,2,sssom
MONDO_0004995,EFO_0000319,9,2,sssom
EFO_0000326,EFO_0000326,10,2,sssom
MONDO_0002714,EFO_0000326,10,2,sssom
EFO_0000341,EFO_0000341,11,2,sssom
MONDO_0005002,EFO_0000341,11,2,sssom
EFO_0000400,EFO_0000400,12,2,sssom
MONDO_0005015,EFO_0000400,12,2,sssom
EFO_0000403,EFO_0000403,13,2,sssom
MONDO_0018905,EFO_0000403,13,2,sssom
EFO_0000407,EFO_0000407,14,2,sssom
MONDO_0005021,EFO_0000407,14,2,sssom
EFO_0000464,EFO_0000464,15,2,sssom
MONDO_0004849,EFO_0000464,15,2,sssom
EFO_0000474,EFO_0000474,16,2,sssom
MONDO_0005027,EFO_0000474,16,2,sssom
EFO_0000495,EFO_0000495,17,2,sssom
MONDO_0005030,EFO_0000495,17,2,sssom
EFO_0000519,EFO_0000519,18,2,sssom
MONDO_0018177,EFO_0000519,18,2,sssom
EFO_0000536,EFO_0000536,19,2,sssom
MONDO_0005043,EFO_0000536,19,2,sssom
EFO_0000537,EFO_0000537,20,2,sssom
MONDO_0005044,EFO_0000537,20,2,sssom
EFO_0000545,EFO_0000545,21,2,sssom
MONDO_0005047,EFO_0000545,21,2,sssom
EFO_0000565,EFO_0000565,22,2,sssom
MONDO_0005059,EFO_0000565,22,2,sssom
EFO_0000574,EFO_0000574,23,2,sssom
MONDO_0005062,EFO_0000574,23,2,sssom
EFO_0000588,EFO_0000588,24,2,sssom
MONDO_0005065,EFO_0000588,24,2,sssom
EFO_0000612,EFO_0000612,25,2,sssom
MONDO_0005068,EFO_0000612,25,2,sssom
EFO_0000616,EFO_0000616,26,2,sssom
MONDO_0005070,EFO_0000616,26,2,sssom
EFO_0000618,EFO_0000618,27,2,sssom
MONDO_0005071,EFO_0000618,27,2,sssom
EFO_0000660,EFO_0000660,28,2,sssom
MONDO_0008487,EFO_0000660,28,2,sssom
EFO_0000668,EFO_0000668,29,2,sssom
MONDO_0005081,EFO_0000668,29,2,sssom
EFO_0000677,EFO_0000677,30,2,sssom
MONDO_0005084,EFO_0000677,30,2,sssom
EFO_0000681,EFO_0000681,31,2,sssom
MONDO_0005086,EFO_0000681,31,2,sssom
EFO_0000684,EFO_0000684,32,2,sssom
MONDO_0005087,EFO_0000684,32,2,sssom
EFO_0000685,EFO_0000685,33,2,sssom
MONDO_0008383,EFO_0000685,33,2,sssom
EFO_0000691,EFO_0000691,34,2,sssom
MONDO_0005089,EFO_0000691,34,2,sssom
EFO_0000701,EFO_0000701,35,2,sssom
MONDO_0005093,EFO_0000701,35,2,sssom
EFO_0000702,EFO_0000702,36,2,sssom
MONDO_0008433,EFO_0000702,36,2,sssom
EFO_0000707,EFO_0000707,37,2,sssom
MONDO_0005096,EFO_0000707,37,2,sssom
EFO_0000712,EFO_0000712,38,2,sssom
MONDO_0005098,EFO_0000712,38,2,sssom
EFO_0000717,EFO_0000717,39,2,sssom
MONDO_0005100,EFO_0000717,39,2,sssom
EFO_0000729,EFO_0000729,40,2,sssom
MONDO_0005101,EFO_0000729,40,2,sssom
EFO_0000756,EFO_0000756,41,2,sssom
MONDO_0005105,EFO_0000756,41,2,sssom
EFO_0001060,EFO_0001060,42,2,sssom
MONDO_0005130,EFO_0001060,42,2,sssom
EFO_0001065,EFO_0001065,43,2,sssom
MONDO_0005133,EFO_0001065,43,2,sssom
EFO_0001358,EFO_0001358,44,2,sssom
MONDO_0005146,EFO_0001358,44,2,sssom
EFO_0001378,EFO_0001378,45,2,sssom
MONDO_0009693,EFO_0001378,45,2,sssom
EFO_0001379,EFO_0001379,46,2,sssom
MONDO_0005151,EFO_0001379,46,2,sssom
EFO_0001421,EFO_0001421,47,2,sssom
MONDO_0005154,EFO_0001421,47,2,sssom
EFO_0001645,EFO_0001645,48,2,sssom
MONDO_0005010,EFO_0001645,48,2,sssom
EFO_0002939,EFO_0002939,49,2,sssom
MONDO_0007959,EFO_0002939,49,2,sssom
EFO_0003035,EFO_0003035,50,2,sssom
MONDO_0005230,EFO_0003035,50,2,sssom
EFO_0003086,EFO_0003086,51,2,sssom
MONDO_0005240,EFO_0003086,51,2,sssom
EFO_0003095,EFO_0003095,52,2,sssom
MONDO_0013209,EFO_0003095,52,2,sssom
EFO_0003105,EFO_0003105,53,2,sssom
MONDO_0008449,EFO_0003105,53,2,sssom
EFO_0003106,EFO_0003106,54,2,sssom
MONDO_0005249,EFO_0003106,54,2,sssom
EFO_0003144,EFO_0003144,55,2,sssom
MONDO_0005252,EFO_0003144,55,2,sssom
EFO_0003758,EFO_0003758,56,2,sssom
MONDO_0005260,EFO_0003758,56,2,sssom
EFO_0003763,EFO_0003763,57,2,sssom
MONDO_0011057,EFO_0003763,57,2,sssom
EFO_0003764,EFO_0003764,58,2,sssom
MONDO_0005264,EFO_0003764,58,2,sssom
EFO_0003767,EFO_0003767,59,2,sssom
MONDO_0005265,EFO_0003767,59,2,sssom
EFO_0003768,EFO_0003768,60,2,sssom
MONDO_0008575,EFO_0003768,60,2,sssom
EFO_0003777,EFO_0003777,61,2,sssom
MONDO_0005267,EFO_0003777,61,2,sssom
EFO_0003781,EFO_0003781,62,2,sssom
MONDO_0005269,EFO_0003781,62,2,sssom
EFO_0003782,EFO_0003782,63,2,sssom
MONDO_0020128,EFO_0003782,63,2,sssom
EFO_0003817,EFO_0003817,64,2,sssom
MONDO_0021071,EFO_0003817,64,2,sssom
EFO_0003818,EFO_0003818,65,2,sssom
MONDO_0005275,EFO_0003818,65,2,sssom
EFO_0003819,EFO_0003819,66,2,sssom
MONDO_0005276,EFO_0003819,66,2,sssom
EFO_0003827,EFO_0003827,67,2,sssom
MONDO_0005279,EFO_0003827,67,2,sssom
EFO_0003839,EFO_0003839,68,2,sssom
MONDO_0005283,EFO_0003839,68,2,sssom
EFO_0003852,EFO_0003852,69,2,sssom
MONDO_0005287,EFO_0003852,69,2,sssom
EFO_0003853,EFO_0003853,70,2,sssom
MONDO_0020641,EFO_0003853,70,2,sssom
EFO_0003860,EFO_0003860,71,2,sssom
MONDO_0021040,EFO_0003860,71,2,sssom
EFO_0003869,EFO_0003869,72,2,sssom
MONDO_0021100,EFO_0003869,72,2,sssom
EFO_0003882,EFO_0003882,73,2,sssom
