id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL4594379,DRUGBANK:DB16683,FOSLEVODOPA,Foslevodopa,1,1,4,True,True,False,True,False,True,foslevodopa,Foslevodopa,,YNDMEEULGSTYJT-LURJTMIESA-N,,1.0,True,True
CHEMBL4802240,DRUGBANK:DB16171,FOSCARBIDOPA,Foscarbidopa,1,1,4,True,True,False,True,False,True,foscarbidopa,Foscarbidopa,,PQUZXFMHVSMUNG-JTQLQIEISA-N,,1.0,True,True
CHEMBL100116,DRUGBANK:DB00652,PENTAZOCINE,Pentazocine,5,947,3,True,True,False,True,False,False,pentazocine,Pentazocine,,VOKSWYLNZZRQPF-UHFFFAOYSA-N,,,False,True
CHEMBL1174,DRUGBANK:DB00063,EPTIFIBATIDE,Eptifibatide,14,417,3,True,True,False,True,False,False,eptifibatide,Eptifibatide,,CZKPOZZJODAYPZ-LROMGURASA-N,,,False,True
CHEMBL1200633,DRUGBANK:DB00602,IVERMECTIN,Ivermectin,20,417,3,True,True,False,True,False,False,ivermectin,Ivermectin,,SPBDXSGPUHCETR-JFUDTMANSA-N,,,True,True
CHEMBL1201304,DRUGBANK:DB09374,INDOCYANINE GREEN ACID FORM,Indocyanine green acid form,25,95,3,True,True,False,True,False,False,indocyanine green acid form,Indocyanine green acid form,,BDBMLMBYCXNVMC-UHFFFAOYSA-N,,,True,True
CHEMBL1201826,DRUGBANK:DB01271,IDURSULFASE,Idursulfase,1,1,3,True,True,False,False,False,True,idursulfase,Idursulfase,,,,1.0,True,True
CHEMBL1237105,DRUGBANK:DB00429,CARBOPROST TROMETHAMINE,Carboprost tromethamine,4,11,3,True,True,False,True,False,False,carboprost tromethamine,Carboprost tromethamine,,UMMADZJLZAPZAW-XOWPVRJPSA-N,,,True,True
CHEMBL1237122,DRUGBANK:DB19356,CARBOPROST,Carboprost,4,16,3,True,True,False,True,False,False,carboprost,Carboprost,,DLJKPYFALUEJCK-IIELGFQLSA-N,,,True,True
CHEMBL1292,DRUGBANK:DB00845,CLOFAZIMINE,Clofazimine,8,711,3,True,True,False,True,False,False,clofazimine,Clofazimine,,WDQPAMHFFCXSNU-BGABXYSRSA-N,,,True,True
CHEMBL1354199,DRUGBANK:DB00462,METHSCOPOLAMINE BROMIDE,Methscopolamine bromide,1,958,3,True,True,False,True,False,False,methscopolamine bromide,Methscopolamine bromide,,CXYRUNPLKGGUJF-RAFJPFSSSA-M,,,True,True
CHEMBL1360,DRUGBANK:DB13295,ATRACURIUM,Atracurium,2,1098,3,True,True,False,True,False,False,atracurium,Atracurium,,YXSLJKQTIDHPOT-UHFFFAOYSA-N,,,False,True
CHEMBL1618279,DRUGBANK:DB16308,REVAPRAZAN,Revaprazan,2,2,3,True,True,False,True,False,False,revaprazan,Revaprazan,,LECZXZOBEZITCL-UHFFFAOYSA-N,,,True,True
CHEMBL1630575,DRUGBANK:DB00520,CASPOFUNGIN,Caspofungin,10,205,3,True,True,False,True,False,False,caspofungin,Caspofungin,,JYIKNQVWKBUSNH-WVDDFWQHSA-N,,,False,True
CHEMBL1740,DRUGBANK:DB11124,RACEPINEPHRINE,Racepinephrine,3,913,3,True,True,False,True,False,False,racepinephrine,Racepinephrine,,UCTWMZQNUQWSLP-UHFFFAOYSA-N,,,False,True
CHEMBL19,DRUGBANK:DB00703,METHAZOLAMIDE,Methazolamide,4,1030,3,True,True,False,True,False,False,methazolamide,Methazolamide,,FLOSMHQXBMRNHR-QPJJXVBHSA-N,,,True,True
CHEMBL2005186,DRUGBANK:DB16703,BELUMOSUDIL,Belumosudil,11,1,3,True,True,False,True,False,False,belumosudil,Belumosudil,,GKHIVNAUVKXIIY-UHFFFAOYSA-N,,,True,True
CHEMBL2016757,DRUGBANK:DB15686,GS-441524,GS-441524,2,12,3,True,True,False,True,False,False,gs 441524,Gs 441524,,BRDWIEOJOWJCLU-LTGWCKQJSA-N,,,True,True
CHEMBL2104987,DRUGBANK:DB08900,TEDUGLUTIDE,Teduglutide,10,764,3,True,True,False,True,False,False,teduglutide,Teduglutide,,CILIXQOJUNDIDU-ASQIGDHWSA-N,,,True,True
CHEMBL2105394,DRUGBANK:DB12487,PROMESTRIENE,Promestriene,1,359,3,True,True,False,True,False,False,promestriene,Promestriene,,IUWKNLFTJBHTSD-AANPDWTMSA-N,,,True,True
CHEMBL2105648,DRUGBANK:DB05467,PALOVAROTENE,Palovarotene,3,1,3,True,True,False,True,False,False,palovarotene,Palovarotene,,YTFHCXIPDIHOIA-DHZHZOJOSA-N,,,True,True
CHEMBL2108319,DRUGBANK:DB09108,SIMOCTOCOG ALFA,Simoctocog alfa,1,1,3,True,True,False,False,False,True,simoctocog alfa,Simoctocog alfa,,,,1.0,True,True
CHEMBL2181927,DRUGBANK:DB16165,FINERENONE,Finerenone,5,2,3,True,True,False,True,False,False,finerenone,Finerenone,,BTBHLEZXCOBLCY-QGZVFWFLSA-N,,,True,True
CHEMBL221326,DRUGBANK:DB15919,DIQUAFOSOL,Diquafosol,2,1,3,True,True,False,True,False,False,diquafosol,Diquafosol,,NMLMACJWHPHKGR-NCOIDOBVSA-N,,,True,True
CHEMBL2338675,DRUGBANK:DB16628,FOSDENOPTERIN,Fosdenopterin,4,1,3,True,True,False,True,False,False,fosdenopterin,Fosdenopterin,,CZAKJJUNKNPTTO-AJFJRRQVSA-N,,,True,True
CHEMBL2397415,DRUGBANK:DB15688,ZAVEGEPANT,Zavegepant,4,2,3,True,True,False,True,False,False,zavegepant,Zavegepant,,JJVAPHYEOZSKJZ-JGCGQSQUSA-N,,,True,True
CHEMBL252556,DRUGBANK:DB09081,IDEBENONE,Idebenone,8,737,3,True,True,False,True,False,False,idebenone,Idebenone,,JGPMMRGNQUBGND-UHFFFAOYSA-N,,,True,True
CHEMBL3237547,DRUGBANK:DB15694,CEDAZURIDINE,Cedazuridine,8,1,3,True,True,False,True,False,False,cedazuridine,Cedazuridine,,VUDZSIYXZUYWSC-DBRKOABJSA-N,,,True,True
CHEMBL3301572,DRUGBANK:DB13161,NUSINERSEN,Nusinersen,1,1,3,True,True,False,False,False,True,nusinersen,Nusinersen,,,,1.0,True,True
CHEMBL3301669,DRUGBANK:DB06219,DALBAVANCIN,Dalbavancin,10,18,3,True,True,False,True,False,False,dalbavancin,Dalbavancin,,KGPGQDLTDHGEGT-SZUNQUCBSA-N,,,False,True
CHEMBL333950,DRUGBANK:DB06272,MAXACALCITOL,Maxacalcitol,1,151,3,True,True,False,True,False,False,maxacalcitol,Maxacalcitol,,DTXXSJZBSTYZKE-ZDQKKZTESA-N,,,True,True
CHEMBL33986,DRUGBANK:DB00611,BUTORPHANOL,Butorphanol,4,909,3,True,True,False,True,False,False,butorphanol,(−)-butorphanol,,IFKLAQQSCNILHL-QHAWAJNXSA-N,,,False,True
CHEMBL3544954,DRUGBANK:DB12755,ZOPTARELIN DOXORUBICIN,Zoptarelin doxorubicin,4,2,3,True,True,False,True,False,False,zoptarelin doxorubicin,Zoptarelin doxorubicin,,OOUACICUAVTCEC-LZHWUUGESA-N,,,True,True
CHEMBL363392,DRUGBANK:DB16226,MARALIXIBAT,Maralixibat,7,1,3,True,True,False,True,False,False,maralixibat,Maralixibat,,STPKWKPURVSAJF-LJEWAXOPSA-N,,,True,True
CHEMBL3668014,DRUGBANK:DB17083,LINZAGOLIX,Linzagolix,6,3,3,True,True,False,True,False,False,linzagolix,Linzagolix,,BMAAMIIYNNPHAB-UHFFFAOYSA-N,,,False,True
CHEMBL3707382,DRUGBANK:DB12366,VESTRONIDASE ALFA,Vestronidase alfa,1,1,3,True,True,False,False,False,True,vestronidase alfa,Vestronidase alfa,,,,1.0,True,True
CHEMBL395429,DRUGBANK:DB00107,OXYTOCIN,Oxytocin,51,371,3,True,True,False,True,False,False,oxytocin,Oxytocin,,XNOPRXBHLZRZKH-DSZYJQQASA-N,,,False,True
CHEMBL3989945,DRUGBANK:DB16310,REZAFUNGIN,Rezafungin,5,1,3,True,True,False,True,False,False,rezafungin,Rezafungin,,LNFCWEXGZIEGJW-TXSVMFMRSA-O,,,True,True
CHEMBL4084119,DRUGBANK:DB06655,LIRAGLUTIDE,Liraglutide,24,584,3,True,True,False,True,False,False,liraglutide,Liraglutide,,YSDQQAXHVYUZIW-QCIJIYAXSA-N,,,False,True
CHEMBL414357,DRUGBANK:DB01276,EXENATIDE,Exenatide,23,633,3,True,True,False,True,False,False,exenatide,Exenatide,,HTQBXNHDCUEHJF-XWLPCZSASA-N,,,False,True
CHEMBL4297507,DRUGBANK:DB16133,DELGOCITINIB,Delgocitinib,5,1,3,True,True,False,True,False,False,delgocitinib,Delgocitinib,,LOWWYYZBZNSPDT-ZBEGNZNMSA-N,,,True,True
CHEMBL4297588,DRUGBANK:DB16261,ODEVIXIBAT,Odevixibat,9,1,3,True,True,False,True,False,False,odevixibat,Odevixibat,,XULSCZPZVQIMFM-IPZQJPLYSA-N,,,True,True
CHEMBL4297610,DRUGBANK:DB16267,OLUTASIDENIB,Olutasidenib,2,1,3,True,True,False,True,False,False,olutasidenib,Olutasidenib,,NEQYWYXGTJDAKR-JTQLQIEISA-N,,,True,True
CHEMBL4297988,DRUGBANK:DB16190,IDURSULFASE BETA,Idursulfase beta,1,1,3,True,True,False,False,False,True,idursulfase beta,Idursulfase .beta.,,,,1.0,True,True
CHEMBL4303060,DRUGBANK:DB16627,MELPHALAN FLUFENAMIDE,Melphalan flufenamide,4,1,3,True,True,False,True,False,False,melphalan flufenamide,Melphalan flufenamide,,YQZNKYXGZSVEHI-VXKWHMMOSA-N,,,True,True
CHEMBL4303525,DRUGBANK:DB12513,OMAVELOXOLONE,Omaveloxolone,4,1,3,True,True,False,True,False,False,omaveloxolone,Omaveloxolone,,RJCWBNBKOKFWNY-IDPLTSGASA-N,,,True,True
CHEMBL43064,DRUGBANK:DB00568,CINNARIZINE,Cinnarizine,1,1376,3,True,True,False,True,False,False,cinnarizine,Cinnarizine,,DERZBLKQOCDDDZ-JLHYYAGUSA-N,,,True,True
CHEMBL435298,DRUGBANK:DB16159,ESFLURBIPROFEN,Esflurbiprofen,3,1,3,True,True,False,True,False,False,esflurbiprofen,Esflurbiprofen,,SYTBZMRGLBWNTM-JTQLQIEISA-N,,,True,True
CHEMBL449158,DRUGBANK:DB11752,BRYOSTATIN 1,Bryostatin 1,25,287,3,True,True,False,True,False,False,bryostatin 1,Bryostatin 1,,MJQUEDHRCUIRLF-TVIXENOKSA-N,,,True,True
CHEMBL449782,DRUGBANK:DB16824,CEPHARANTHINE,Cepharanthine,2,4,3,True,True,False,True,False,False,cepharanthine,(+)-Cepharanthine,,YVPXVXANRNDGTA-WDYNHAJCSA-N,,,True,True
