id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
HP_0000737,meddra:10022998,Irritability,Irritability,261,1,2,True,True,False,False,False,False,irritability,Irritability,,,,,True,True
HP_0000739,meddra:10002855,Anxiety,Anxiety,208,7,2,True,True,False,False,False,False,anxiety,Anxiety,,,,,True,True
HP_0000952,meddra:10023126,Jaundice,Jaundice,624,3,2,True,True,False,False,False,False,jaundice,Jaundice,,,,,True,True
HP_0000958,meddra:10013786,Dry skin,Dry skin,253,2,2,True,True,False,False,False,False,dry skin,Dry skin,,,,,True,True
HP_0001289,meddra:10010300,Confusion,Confusion,619,5,2,True,True,False,False,False,False,confusion,Confusion,,,,,True,True
HP_0001337,meddra:10044565,Tremor,Tremor,934,6,2,True,True,False,False,False,False,tremor,Tremor,,,,,True,True
HP_0001369,meddra:10003246,Arthritis,Arthritis,5773,1,2,True,True,False,False,False,False,arthritis,Arthritis,,,,,True,True
HP_0001962,meddra:10033557,Palpitations,Palpitations,58,4,2,True,True,False,False,False,False,palpitations,Palpitations,,,,,True,True
HP_0002013,meddra:10047700,Vomiting,Vomiting,287,16,2,True,True,False,False,False,False,vomiting,Vomiting,,,,,True,True
HP_0002018,meddra:10028813,Nausea,Nausea,201,25,2,True,True,False,False,False,False,nausea,Nausea,,,,,True,True
HP_0002019,meddra:10010774,Constipation,Constipation,795,10,2,True,True,False,False,False,False,constipation,Constipation,,,,,True,True
HP_0002027,meddra:10000081,Abdominal pain,Abdominal pain,310,10,2,True,True,False,False,False,False,abdominal pain,Abdominal pain,,,,,True,True
HP_0002090,meddra:10035664,Pneumonia,Pneumonia,2617,2,2,True,True,False,False,False,False,pneumonia,Pneumonia,,,,,True,True
HP_0002315,meddra:10019211,Headache,Headache,1163,29,2,True,True,False,False,False,False,headache,Headache,,,,,True,True
HP_0002653,meddra:10006002,Bone pain,Bone pain,44,1,2,True,True,False,False,False,False,bone pain,Bone pain,,,,,True,True
HP_0003418,meddra:10003988,Back pain,Back pain,850,6,2,True,True,False,False,False,False,back pain,Back pain,,,,,True,True
HP_0012234,meddra:10001507,Agranulocytosis,Agranulocytosis,178,2,2,True,True,False,False,False,False,agranulocytosis,Agranulocytosis,,,,,True,True
HP_0012378,meddra:10016256,Fatigue,Fatigue,139,11,2,True,True,False,False,False,False,fatigue,Fatigue,,,,,True,True
HP_0012531,meddra:10033371,Pain,Pain,1852,6,2,True,True,False,False,False,False,pain,Pain,,,,,True,True
HP_0012735,meddra:10011224,Cough,Cough,395,7,2,True,True,False,False,False,False,cough,Cough,,,,,True,True
HP_0030833,meddra:10028836,Neck pain,Neck pain,70,2,2,True,True,False,False,False,False,neck pain,Neck pain,,,,,True,True
HP_0100749,meddra:10008479,Chest pain,Chest pain,73,2,2,True,True,False,False,False,False,chest pain,Chest pain,,,,,True,True
HP_0000077,HP_0000112,Abnormality of the kidney,Nephropathy,5356,3013,1,False,False,False,True,False,False,,,,C0022658,,,False,True
HP_0000083,meddra:10038435,Renal insufficiency,Renal failure,3027,1,1,False,True,False,False,False,False,,Renal failure,,,,,True,True
HP_0000093,meddra:10037032,Proteinuria,Proteinuria,529,1,1,True,False,False,False,False,False,proteinuria,,,,,,True,True
HP_0000230,meddra:10018292,Gingivitis,Gingivitis,342,1,1,True,False,False,False,False,False,gingivitis,,,,,,True,True
HP_0000360,meddra:10043882,Tinnitus,Tinnitus,602,4,1,True,False,False,False,False,False,tinnitus,,,,,,True,True
HP_0000421,meddra:10015090,Epistaxis,Epistaxis,72,3,1,True,False,False,False,False,False,epistaxis,,,,,,True,True
HP_0000498,meddra:10005148,Blepharitis,Blepharitis,20,1,1,True,False,False,False,False,False,blepharitis,,,,,,True,True
HP_0000501,meddra:10018304,Glaucoma,Glaucoma,141,1,1,True,False,False,False,False,False,glaucoma,,,,,,True,True
HP_0000509,meddra:10010741,Conjunctivitis,Conjunctivitis,470,2,1,True,False,False,False,False,False,conjunctivitis,,,,,,True,True
HP_0000518,meddra:10007739,Cataract,Cataract,2041,2,1,True,False,False,False,False,False,cataract,,,,,,True,True
HP_0000639,meddra:10029864,Nystagmus,Nystagmus,1117,2,1,True,False,False,False,False,False,nystagmus,,,,,,True,True
HP_0000651,meddra:10013036,Diplopia,Diplopia,104,3,1,True,False,False,False,False,False,diplopia,,,,,,True,True
HP_0000713,meddra:10001497,Agitation,Agitation,139,4,1,True,False,False,False,False,False,agitation,,,,,,True,True
HP_0000716,meddra:10012378,Depression,Depression,131,8,1,True,False,False,False,False,False,depression,,,,,,True,True
HP_0000718,meddra:10001488,Aggressive behavior,Aggression,418,1,1,False,True,False,False,False,False,,Aggression,,,,,True,True
HP_0000738,meddra:10019063,Hallucinations,Hallucination,148,3,1,False,True,False,False,False,False,,Hallucination,,,,,True,True
HP_0000802,meddra:10021550,Impotence,Impotence,134,1,1,True,False,False,False,False,False,impotence,,,,,,True,True
HP_0000819,meddra:10012601,Diabetes mellitus,Diabetes mellitus,3264,1,1,True,False,False,False,False,False,diabetes mellitus,,,,,,True,True
HP_0000821,meddra:10021114,Hypothyroidism,Hypothyroidism,119,1,1,True,False,False,False,False,False,hypothyroidism,,,,,,True,True
HP_0000822,meddra:10020772,Hypertension,Hypertension,1887,10,1,True,False,False,False,False,False,hypertension,,,,,,True,True
HP_0000979,meddra:10037549,Purpura,Purpura,255,1,1,True,False,False,False,False,False,purpura,,,,,,True,True
HP_0000988,meddra:10037844,Skin rash,Rash,384,30,1,False,True,False,False,False,False,,Rash,,,,,True,True
HP_0000989,meddra:10037087,Pruritus,Pruritus,917,8,1,True,False,False,False,False,False,pruritus,,,,,,True,True
HP_0000992,meddra:10034966,Cutaneous photosensitivity,Photosensitivity,96,2,1,False,True,False,False,False,False,,Photosensitivity,,,,,True,True
HP_0001025,meddra:10046735,Urticaria,Urticaria,30,2,1,True,False,False,False,False,False,urticaria,,,,,,True,True
HP_0001061,meddra:10000496,Acne,Acne,18,1,1,True,False,False,False,False,False,acne,,,,,,True,True
HP_0001062,HP_0001074,Atypical nevus,Atypical nevi in non-sun exposed areas,5,5,1,False,False,False,False,True,False,,,,,514079417b31448a1594b77de3493461dbe2ca5d,,False,False
HP_0001251,meddra:10003591,Ataxia,Ataxia,2498,2,1,True,False,False,False,False,False,ataxia,,,,,,True,True
HP_0001278,meddra:10031127,Orthostatic hypotension,Orthostatic hypotension,25,3,1,True,False,False,False,False,False,orthostatic hypotension,,,,,,True,True
HP_0001279,meddra:10042772,Syncope,Syncope,204,6,1,True,False,False,False,False,False,syncope,,,,,,True,True
HP_0001298,meddra:10014625,Encephalopathy,Encephalopathy,1717,1,1,True,False,False,False,False,False,encephalopathy,,,,,,True,True
HP_0001300,meddra:10034010,Parkinsonism,Parkinsonism,2015,1,1,True,False,False,False,False,False,parkinsonism,,,,,,True,True
HP_0001324,meddra:10028372,Muscle weakness,Muscular weakness,617,1,1,False,True,False,False,False,False,,Muscular weakness,,,,,True,True
HP_0001332,meddra:10013983,Dystonia,Dystonia,1303,2,1,True,False,False,False,False,False,dystonia,,,,,,True,True
HP_0001399,meddra:10019663,Hepatic failure,Hepatic failure,1119,1,1,True,False,False,False,False,False,hepatic failure,,,,,,True,True
HP_0001596,meddra:10001760,Alopecia,Alopecia,1145,4,1,True,False,False,False,False,False,alopecia,,,,,,True,True
HP_0001596,HP_0002293,Alopecia,Alopecia of scalp,1145,45,1,False,False,False,True,False,False,,,,C0002170,,,False,True
HP_0001635,meddra:10007554,Congestive heart failure,Cardiac failure,1346,2,1,False,True,False,False,False,False,,Cardiac failure,,,,,True,True
HP_0001649,meddra:10043071,Tachycardia,Tachycardia,320,5,1,True,False,False,False,False,False,tachycardia,,,,,,True,True
HP_0001658,meddra:10028596,Myocardial infarction,Myocardial infarction,24,2,1,True,False,False,False,False,False,myocardial infarction,,,,,,True,True
HP_0001662,meddra:10006093,Bradycardia,Bradycardia,540,2,1,True,False,False,False,False,False,bradycardia,,,,,,True,True
HP_0001733,meddra:10033645,Pancreatitis,Pancreatitis,229,4,1,True,False,False,False,False,False,pancreatitis,,,,,,True,True
HP_0001873,meddra:10043554,Thrombocytopenia,Thrombocytopenia,2414,3,1,True,False,False,False,False,False,thrombocytopenia,,,,,,True,True
HP_0001876,meddra:10033661,Pancytopenia,Pancytopenia,748,1,1,True,False,False,False,False,False,pancytopenia,,,,,,True,True
HP_0001944,meddra:10012174,Dehydration,Dehydration,53,3,1,True,False,False,False,False,False,dehydration,,,,,,True,True
HP_0001945,meddra:10037660,Fever,Pyrexia,1091,7,1,False,True,False,False,False,False,,Pyrexia,,,,,True,True
HP_0001997,meddra:10018627,Gout,Gout,1416,1,1,True,False,False,False,False,False,gout,,,,,,True,True
HP_0002015,meddra:10013950,Dysphagia,Dysphagia,464,1,1,True,False,False,False,False,False,dysphagia,,,,,,True,True
HP_0002043,HP_0010450,Esophageal stricture,Esophageal stenosis,79,83,1,False,False,False,True,False,False,,,,C0014866,,,False,True
HP_0002050,HP_0008640,"Macroorchidism, postpubertal",Congenital macroorchidism,2,2,1,False,False,False,False,True,False,,,,,9ac7a75d069a9607eea917b98c3537855c33cf2b,,False,False
HP_0002094,meddra:10013968,Dyspnea,Dyspnoea,334,1,1,False,True,False,False,False,False,,Dyspnoea,,,,,True,True
HP_0002094,HP_0002098,Dyspnea,Respiratory distress,334,300,1,False,False,False,True,False,False,,,,C0013404,,,False,True
HP_0002121,HP_0011147,Generalized non-motor (absence) seizure,Typical absence seizure,273,25,1,False,False,False,True,False,False,,,,C0014553,,,False,True
HP_0002204,meddra:10037377,Pulmonary embolism,Pulmonary embolism,566,1,1,True,False,False,False,False,False,pulmonary embolism,,,,,,True,True
HP_0002206,meddra:10037383,Pulmonary fibrosis,Pulmonary fibrosis,37,1,1,True,False,False,False,False,False,pulmonary fibrosis,,,,,,True,True
HP_0002321,meddra:10047340,Vertigo,Vertigo,505,2,1,True,False,False,False,False,False,vertigo,,,,,,True,True
HP_0002321,meddra:10013573,Vertigo,Dizziness,505,9,1,False,True,False,False,False,False,,Dizziness,,,,,True,True
HP_0002329,meddra:10041349,Drowsiness,Somnolence,482,5,1,False,True,False,False,False,False,,Somnolence,,,,,True,True
HP_0002352,meddra:10024382,Leukoencephalopathy,Leukoencephalopathy,475,1,1,True,False,False,False,False,False,leukoencephalopathy,,,,,,True,True
HP_0002583,meddra:10009887,Colitis,Colitis,31,3,1,True,False,False,False,False,False,colitis,,,,,,True,True
HP_0002615,meddra:10021097,Hypotension,Hypotension,30,9,1,True,False,False,False,False,False,hypotension,,,,,,True,True
HP_0002633,meddra:10047115,Vasculitis,Vasculitis,136,2,1,True,False,False,False,False,False,vasculitis,,,,,,True,True
HP_0002665,meddra:10025310,Lymphoma,Lymphoma,30,2,1,True,False,False,False,False,False,lymphoma,,,,,,True,True
HP_0002810,HP_0003562,Dumbbell-shaped metaphyses,Abnormal metaphyseal vascular invasion,2,2,1,False,False,False,False,True,False,,,,,a81f1d350c2b75f5412389761860a3450efd1d6f,,False,False
HP_0002829,meddra:10003239,Arthralgia,Arthralgia,331,10,1,True,False,False,False,False,False,arthralgia,,,,,,True,True
